keyword,seed,intent,suggested_title,notes,priority
"배당락일 계산 방법","배당락","정보형","배당락일 계산 방법, 며칠 전까지 사야 배당받나","배당기준일에서 거꾸로 세는 계산법 / 결제 D+2와 영업일 기준 주의",1
"배당받으려면 언제까지 매수","배당락","정보형","배당받으려면 언제까지 매수? 마지막 매수일 정리","배당락일 전날이 마지막 매수일인 이유 / 결제일(D+2) 반영해 날짜 잡기",2
"배당락 후 매도 타이밍","배당락","정보형","배당락 후 매도 타이밍, 언제 팔아야 손해 없나","배당락 조정폭과 주가 회복 기간 / 배당세 포함 실수익으로 판단",3
"배당락 손해 안 보는 방법","배당락","정보형","배당락 손해 안 보는 방법, 핵심 체크포인트","배당락 하락은 손해가 아니라는 원리 / 배당금+주가 합산 관점으로 보기",4
"월배당 ETF 분배금 언제","월배당 ETF","정보형","월배당 ETF 분배금 언제 들어오나, 지급일 정리","분배기준일과 실제 지급일 차이 / 대표 ETF 월별 지급 스케줄 표",5
"월배당 ETF 세금 계산","월배당 ETF","정보형","월배당 ETF 세금 계산, 분배금 과세 한눈에","배당소득세 15.4% 원천징수 / 국내·해외 ETF 과세 차이와 금융소득종합과세",6
"월배당 ETF 단점 초보","월배당 ETF","정보형","월배당 ETF 단점, 초보가 꼭 알아야 할 함정","분배금이 원금 일부일 수 있음 / 총수익률·세금·수수료까지 따지기",7
"연금저축 세액공제 계산 방법","연금저축","정보형","연금저축 세액공제 계산 방법, 환급액 직접 구하기","소득별 공제율 13.2% vs 16.5% / 한도 600만원 기준 예시 계산",8
"IRP 세액공제 계산 방법","IRP","정보형","IRP 세액공제 계산 방법, 연말정산 환급 미리보기","연금저축 합산 900만원 한도 / 소득 구간별 공제율 적용 예시",9
"연금저축 세액공제 한도","연금저축","정보형","연금저축 세액공제 한도, 600만원 정확히 채우는 법","연 600만원 한도와 IRP 합산 900만원 구조 / 납입한도와 혼동 주의",10
"IRP 세액공제 한도","IRP","정보형","IRP 세액공제 한도, 900만원 합산 규칙 정리","IRP 단독·연금저축 합산 900만원 / 납입한도 1800만원과 구분",11
"배당금 계산 방법","배당","정보형","배당금 계산 방법, 내 주식 배당 얼마인지 구하기","주당배당금 × 보유주수 기본식 / 세전·세후(15.4%) 구분 예시",12
"배당소득세 계산 방법","배당","정보형","배당소득세 계산 방법, 15.4% 떼는 구조 정리","원천징수 15.4%(지방세 포함) 구성 / 2천만원 초과 금융소득종합과세",13
"배당 언제 들어오나","배당","정보형","배당 언제 들어오나, 기준일부터 입금까지 일정","배당기준일에서 지급일까지 통상 2~3개월 / 결산·중간배당 차이",14
"배당락 주가 하락 이유","배당락","정보형","배당락 주가 하락 이유, 떨어져도 손해 아닌 까닭","배당만큼 권리가 빠져 이론적으로 조정 / 시장 수급에 따른 실제 움직임",15
"배당락일 확인하는 방법","배당락","실행형","배당락일 확인하는 방법, 증권사 앱으로 1분 만에","MTS·기업 IR·전자공시(DART) 확인 경로 / 화면 캡처로 단계 안내",16
"배당 받는 방법 초보","배당","정보형","배당 받는 방법, 초보가 따라 하는 4단계","기준일 전 매수→보유→자동 입금 흐름 / 계좌 준비와 종목 고르기",17
"배당 재투자 방법","배당","실행형","배당 재투자 방법, 복리로 굴리는 실전 가이드","수동 재매수 vs 자동 재투자 옵션 / 복리 효과 간단 시뮬레이션",18
"월배당 ETF 시작 방법 초보","월배당 ETF","실행형","월배당 ETF 시작 방법, 계좌개설부터 매수까지","계좌 종류 선택과 개설 단계 / 종목 검색·매수, 분배금 확인 방법",19
"월 50만원 배당 ETF 계산","월배당 ETF","실행형","월 50만원 배당, ETF로 만들려면 얼마 필요할까","목표배당 ÷ 분배율로 필요원금 역산 / 세후 기준·수익률 가정 명시",20
"연금저축 중도해지 불이익","연금저축","정보형","연금저축 중도해지 불이익, 토해내는 세금 정리","기타소득세 16.5% 추징 구조 / 세액공제 받은 원금+운용수익이 대상",21
"연금저축 한도 초과하면","연금저축","정보형","연금저축 한도 초과하면? 공제 안 되는 돈 처리법","세액공제 한도와 납입한도 구분 / 초과 납입분 이월공제 신청",22
"IRP 중도인출 방법","IRP","실행형","IRP 중도인출 방법, 가능한 사유와 세금","무주택·의료 등 법정 인출사유 / 일반 인출 시 세금·불이익",23
"연금저축 가입 방법 초보","연금저축","실행형","연금저축 가입 방법, 초보가 증권사에서 여는 법","연금저축펀드 계좌개설 단계 / 펀드·ETF 등 상품 선택 기준",24
"분기배당 vs 연배당 차이","배당","비교형","분기배당 vs 연배당, 뭐가 더 유리할까","지급 주기와 현금흐름 차이 / 재투자 복리·대표 종목 비교표",25
"월배당 ETF 연금저축 가능한지","월배당 ETF","정보형","월배당 ETF, 연금저축 계좌에서 살 수 있을까","계좌 내 매수 가능 범위(국내 상장 ETF) / 해외 직투 ETF 제한",26
